PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;102;83;28079102_83_98;2022;02;23;8.3;V;7.8;V;7.1;V;6.2;V;5.4;V;3.7;V;3.4;V;3.3;V;3.9;V;5.2;V;7.2;V;9.3;V;11.8;V;12.9;V;13.8;V;14;V;16.1;V;16.3;V;15;V;13.7;V;12.9;V;10.9;V;10.3;V;9.7;V
28;079;102;83;28079102_83_98;2022;02;24;9;V;7.7;V;6.4;V;6.1;V;5.6;V;4.6;V;4.1;V;3.9;V;3.5;V;4.2;V;5.7;V;7.7;V;9.6;V;11.6;V;11.7;V;12.6;V;13.7;V;13.4;V;13;V;12.5;V;12.1;V;11.6;V;9.9;V;9;V
28;079;102;83;28079102_83_98;2022;02;25;7.9;V;7;V;6.4;V;6.1;V;6.1;V;5.7;V;5.3;V;4.4;V;3.5;V;3.1;V;3.6;V;3.4;V;3.6;V;4.2;V;5;V;5.9;V;7.1;V;7.3;V;7.4;V;7.3;V;7;V;6.8;V;6.5;V;6.3;V
28;079;102;83;28079102_83_98;2022;02;26;5.7;V;5.1;V;4.8;V;4.5;V;4.5;V;4.6;V;4.4;V;3.7;V;3.2;V;3.2;V;3.6;V;4.1;V;4.6;V;4.9;V;5.2;V;5.8;V;6.2;V;6.2;V;6.3;V;6.1;V;5.8;V;5.9;V;5.5;V;5.2;V
28;079;102;83;28079102_83_98;2022;02;27;5;V;5;V;4.8;V;4.4;V;3.6;V;4.1;V;4.4;V;4.3;V;4.4;V;5.3;V;6.1;V;6.7;V;6.7;V;8.2;V;10.4;V;10.5;V;10.5;V;10.6;V;9.9;V;8.8;V;8.9;V;9.2;V;8.7;V;7.6;V
28;079;102;83;28079102_83_98;2022;02;28;7.4;V;7.3;V;6.8;V;5.4;V;5.8;V;4.9;V;3.9;V;3.6;V;3.8;V;5.8;V;7.2;V;9.6;V;10.5;V;11.1;V;12.7;V;13.8;V;13.8;V;13.9;V;12.7;V;11.5;V;10.6;V;10;V;9.7;V;9.4;V
28;079;102;86;28079102_86_98;2022;02;01;45;V;49;V;51;V;51;V;51;V;50;V;53;V;55;V;59;V;56;V;53;V;48;V;41;V;39;V;38;V;39;V;41;V;42;V;45;V;49;V;53;V;56;V;60;V;62;V
28;079;102;86;28079102_86_98;2022;02;02;65;V;68;V;67;V;63;V;64;V;68;V;67;V;65;V;66;V;62;V;55;V;49;V;41;V;33;V;28;V;24;V;25;V;24;V;29;V;34;V;38;V;43;V;49;V;53;V
28;079;102;86;28079102_86_98;2022;02;03;56;V;56;V;59;V;59;V;58;V;56;V;54;V;52;V;51;V;47;V;45;V;44;V;42;V;42;V;40;V;37;V;40;V;39;V;45;V;47;V;53;V;57;V;63;V;62;V
28;079;102;86;28079102_86_98;2022;02;04;63;V;64;V;69;V;74;V;75;V;76;V;73;V;74;V;76;V;72;V;69;V;68;V;63;V;63;V;52;V;51;V;49;V;50;V;51;V;49;V;55;V;58;V;58;V;62;V
28;079;102;86;28079102_86_98;2022;02;05;67;V;66;V;71;V;69;V;68;V;69;V;70;V;70;V;70;V;69;V;65;V;58;V;52;V;49;V;47;V;44;V;42;V;43;V;45;V;45;V;47;V;49;V;49;V;47;V
28;079;102;86;28079102_86_98;2022;02;06;46;V;48;V;49;V;48;V;45;V;45;V;45;V;48;V;48;V;46;V;38;V;35;V;34;V;34;V;35;V;31;V;27;V;28;V;30;V;32;V;32;V;36;V;36;V;36;V
28;079;102;86;28079102_86_98;2022;02;07;35;V;36;V;41;V;51;V;48;V;49;V;47;V;42;V;43;V;41;V;33;V;28;V;24;V;24;V;25;V;25;V;26;V;27;V;27;V;31;V;35;V;39;V;45;V;49;V
28;079;102;86;28079102_86_98;2022;02;08;48;V;51;V;54;V;57;V;60;V;60;V;61;V;60;V;62;V;57;V;50;V;45;V;42;V;42;V;37;V;35;V;34;V;35;V;36;V;38;V;39;V;43;V;48;V;48;V
28;079;102;86;28079102_86_98;2022;02;09;50;V;52;V;54;V;58;V;60;V;61;V;63;V;65;V;64;V;57;V;55;V;51;V;44;V;40;V;38;V;35;V;37;V;38;V;40;V;44;V;48;V;49;V;52;V;56;V
